,index,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Winds Speed
126,409,Ambon City,20,ID,1585581305,88,-3.7,128.18,78.8,8.05
127,410,Flinders,90,AU,1585581381,88,-34.58,150.86,64.65,10.29
128,412,Mossamedes,0,AO,1585581381,70,-15.2,12.15,75.06,11.01
129,413,Isangel,99,VU,1585581381,83,-19.55,169.27,77.88,14.52
130,414,Poum,72,NC,1585581382,74,-20.23,164.02,78.42,15.21
131,421,Byron Bay,97,AU,1585581384,94,-28.65,153.62,68.31,3.36
132,424,Mthatha,59,ZA,1585581385,57,-31.59,28.78,77.0,8.05
133,426,Mweka,41,CD,1585581385,47,-4.85,21.57,85.46,4.21
134,427,Baturaja,100,ID,1585581151,92,-4.13,104.17,75.69,1.48
135,435,Santa Inês,49,BR,1585581175,63,-3.67,-45.38,89.87,3.71
136,442,Camocim,99,BR,1585581390,84,-2.9,-40.84,82.36,6.73
137,447,Sola,100,VU,1585581391,88,-13.88,167.55,78.4,12.03
138,449,Coyhaique,61,CL,1585581392,76,-45.58,-72.07,48.2,8.05
139,451,Sambava,90,MG,1585581393,84,-14.27,50.17,79.75,2.17
140,454,Mulchén,0,CL,1585581393,71,-37.72,-72.23,55.4,16.11
141,457,Ancud,0,CL,1585581394,71,-41.87,-73.82,51.8,11.41
142,459,Bima,33,ID,1585581395,84,-8.47,118.72,77.61,1.34
143,460,Rosario,40,AR,1585581397,58,-32.95,-60.64,83.7,6.93
144,461,Pontes e Lacerda,2,BR,1585581397,62,-15.23,-59.34,87.42,2.64
145,465,São Caetano de Odivelas,44,BR,1585581398,81,-0.75,-48.02,83.79,8.37
146,468,Daru,100,PG,1585581399,90,-9.08,143.21,77.4,8.75
147,469,Saint-Joseph,75,RE,1585581399,88,-21.37,55.62,76.44,3.36
148,472,Alofi,43,NU,1585581400,100,-19.06,-169.92,77.0,2.24
149,475,Walvis Bay,45,NA,1585581115,84,-22.96,14.51,64.99,7.0
150,477,Murray Bridge,0,AU,1585581402,96,-35.12,139.27,55.27,2.95
151,480,Rawson,0,AR,1585581402,43,-43.3,-65.1,63.09,8.37
152,483,Siavonga,23,ZM,1585581403,56,-16.54,28.71,82.11,3.85
153,486,Honiara,75,SB,1585581404,100,-9.43,159.95,77.0,3.36
154,487,Nelson Bay,24,AU,1585581404,82,-32.72,152.15,65.61,11.41
155,488,Ballina,92,AU,1585581405,94,-28.87,153.57,67.59,3.36
156,490,Torata,29,PE,1585581406,23,-17.08,-70.84,66.34,1.03
157,491,Kirando,98,TZ,1585581406,56,-7.42,30.6,78.49,4.14
158,492,Ilhabela,29,BR,1585581406,75,-23.78,-45.36,78.98,3.27
159,496,Nova Russas,89,BR,1585581119,70,-4.71,-40.56,84.24,6.11
160,501,Collie,0,AU,1585581409,56,-33.37,116.15,55.04,2.37
161,506,Rivadavia,40,AR,1585581410,60,-33.19,-68.46,71.6,8.05
162,508,Vallenar,88,CL,1585581411,25,-28.57,-70.76,81.81,6.93
163,512,Matai,40,TZ,1585581412,77,-8.3,31.52,69.8,18.34
164,515,Bequimão,40,BR,1585581412,79,-2.45,-44.78,84.2,8.05
165,516,Kirakira,87,SB,1585581413,81,-10.45,161.92,79.75,2.93
166,518,Quelimane,20,MZ,1585581413,65,-17.88,36.89,82.4,9.17
167,520,Maués,48,BR,1585581414,85,-3.38,-57.72,83.82,5.03
168,523,Tingi,61,TZ,1585581415,67,-11.3,35.03,69.21,3.78
169,525,Okato,1,NZ,1585581415,72,-39.2,173.88,53.01,10.0
170,529,Arequipa,20,PE,1585581222,55,-16.4,-71.53,66.2,4.7
171,531,Ifanadiana,16,MG,1585581417,79,-21.3,47.63,71.82,1.43
172,532,Rio Grande,0,BR,1585581415,58,-32.03,-52.1,87.8,4.7
173,543,Gombong,100,ID,1585581419,83,-7.61,109.51,79.9,0.65
174,544,Manokwari,100,ID,1585581420,75,-0.87,134.08,80.11,1.48
175,555,Ambilobe,99,MG,1585581423,85,-13.2,49.05,79.68,3.8
